regionname,current_income,2009_income,sqftpr
"Medford, OR",54424,43472,190
"Lafayette-West Lafayette, IN",54018,42813,96
"Bellingham, WA",64461,49341,254
"Lake Havasu City, AZ",43824,39477,140
"Johnson City, TN",41461,37757,99
"Elkhart, IN",62213,46493,108
"Racine, WI",63899,54002,133
"Athens, GA",49001,40444,104
"Hilton Head Island, SC",55792,52853,170
"Bloomington, IL",68919,56472,92
"Panama City, FL",53701,45687,125
"Kingston, NY",66726,55446,153
"Daphne, AL",57294,49624,114
"Gainesville, GA",65251,51612,118
"Blacksburg, VA",53825,41605,115
"Jacksonville, NC",51889,44760,93
"Redding, CA",55503,43311,173
"Monroe, LA",41314,38461,87
"Joplin, MO",51145,38942,91
"Muskegon, MI",51417,40701,97
"East Stroudsburg, PA",64470,57143,97
"Greenville, NC",47561,38959,80
"Abilene, TX",53259,42369,80
"Columbia, MO",53006,44564,104
"Dover, DE",59641,54282,121
"Eau Claire, WI",58170,46077,123
"Jackson, MI",51533,47022,110
"Punta Gorda, FL",55030,45156,131
"Bloomington, IN",51531,38653,124
"Pueblo, CO",44883,40446,144
"Billings, MT",59971,48532,186
"Bowling Green, KY",48454,40946,103
"Bend, OR",70215,51457,239
"Albany, GA",45523,36750,66
"Kahului, HI",77312,63107,554
"Bangor, ME",53172,42163,113
"Alexandria, LA",41378,41508,87
"Hanford, CA",61097,48758,140
"Iowa City, IA",63754,50484,155
"Rocky Mount, NC",44530,37813,64
"Monroe, MI",61406,53805,118
"Burlington, NC",47179,42433,99
"Madera, CA",53554,46531,152
"Jefferson City, MO",54093,53055,95
"Elizabethtown, KY",54494,45320,90
"Florence, AL",47743,38488,64
"Grand Junction, CO",54993,52081,157
"Dothan, AL",47147,38562,72
"Hattiesburg, MS",48040,38726,82
"Dalton, GA",41911,40601,83
"Midland, TX",77867,56815,141
"Homosassa Springs, FL",45383,38901,97
"Auburn, AL",55521,40127,91
"Coeur d'Alene, ID",61114,47214,171
"Odessa, TX",55776,45781,110
"Napa, CA",92474,68191,437
"Battle Creek, MI",46895,41474,98
"Rapid City, SD",58925,46547,179
"Flagstaff, AZ",56944,48657,211
"La Crosse, WI",59234,48812,103
"Lebanon, PA",59933,51789,117
"Idaho Falls, ID",56123,50261,106
"Pittsfield, MA",59716,46305,140
"Lawton, OK",52937,44460,69
"Farmington, NM",46537,45946,124
"Jackson, TN",44858,40603,66
"Morgantown, WV",51224,40463,106
"Glens Falls, NY",61670,50006,124
"Altoona, PA",47872,40114,72
"New Bern, NC",52955,41117,99
"Carbondale, IL",45762,36140,69
"Logan, ID",54589,47162,185
"Harrisonburg, VA",51154,45154,134
"Beckley, WV",43943,34304,60
"Mansfield, OH",47840,41695,72
"Goldsboro, NC",46044,40771,58
"Jonesboro, AR",51923,36702,73
"Mount Vernon, WA",69822,55468,231
"Albany, OR",53904,45590,179
"Cleveland, TN",48944,38370,106
"Bismarck, ND",68334,54100,197
"Owensboro, KY",49669,41481,88
"Morristown, TN",46702,38320,96
"Brunswick, GA",49010,43108,107
"Michigan City, IN",52303,46272,102
"Lawrence, KS",57724,46370,138
"Decatur, IL",54741,43844,68
"Missoula, MT",57978,43520,237
"Lewiston, ME",49839,42729,128
"Lima, OH",53694,42246,68
"California-Lexington Park, MD",83647,77785,154
"Gadsden, AL",42697,38067,53
"Cumberland, MD",43109,38032,69
"Longview, WA",50619,45984,177
"Fond du Lac, WI",64045,51724,89
"Ithaca, NY",58983,48404,134
"Gettysburg, PA",66014,55692,133
"Pine Bluff, AR",41182,34755,45
"Grand Forks, ND",49627,45227,144
"Fairbanks, AK",80070,66568,218
"Ocean City, NJ",71263,55365,262
"Mankato, MN",64139,50226,142
"Cape Girardeau, MO",49702,41274,88
